,Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,ZipCode,poulation,percent_employed,inc_<10k,inc_10-15k,inc_15-25k,median_inc,mean_inc,percent_no_health,percent_public_health,total_population,percent_age_under_5,percent_age_5-9,percent_age_10-14,percent_age_15-19,percent_age_20-24,percent_age_25-34,percent_age_35-44,percent_age_45-54,percent_age_55-59,percent_age_60-64,percent_age_65-74,percent_age_75-84,percent_age85_and_over,percent_age_65_and_over,median_age
18,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,60643,40803.0,59.6,7.1,4.4,9.6,61799,78222,10.4,35.9,51836.0,5.8,6.4,7.7,6.6,5.7,9.5,12.3,15.3,6.8,6.5,8.2,6.6,2.6,17.3,42.1
19,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,60611,28349.0,69.4,7.2,2.1,5.3,85642,161454,5.4,20,29722.0,2.7,1,0.7,1.5,8.2,30.9,9.5,12.7,6,7.5,11.8,5.5,2,19.3,39.5
20,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,60611,28349.0,69.4,7.2,2.1,5.3,85642,161454,5.4,20,29722.0,2.7,1,0.7,1.5,8.2,30.9,9.5,12.7,6,7.5,11.8,5.5,2,19.3,39.5
21,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,60631,23881.0,64.4,5.2,2.5,8.1,74007,85673,9.3,24.2,28899.0,5.1,6.9,4.7,3.7,5.2,12,14.6,15.9,7.9,5.7,7.2,6.2,5.1,18.5,43.7
22,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,1,0,60645,35408.0,63.1,8.2,4.4,10.3,48918,73629,24.1,34.7,46913.0,8.2,8,7,6,6.7,14.3,13.2,13.6,5.8,5.6,6.5,3.4,1.9,11.8,35
23,2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,60651,46722.0,54.3,16.8,7.8,15.5,30971,43561,24,47,61150.0,7.7,7.2,7.3,8.6,7.9,15,12.8,11.5,6.1,6,6.6,2.5,0.9,10,32.7
24,2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,60620,57607.0,55.5,14.4,8,17.7,31753,43334,20.7,48.7,73253.0,6.2,6.3,7.4,8.8,7,10.7,13,13.6,6.2,4.8,8.7,5.6,1.7,16,38.2
25,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,60634,59366.0,68,6.4,4.1,10.1,55767,66516,21.9,29.9,72718.0,6.1,5.8,5.3,6,6.1,16.4,13.1,14.2,7.6,6.6,6.7,4.2,1.9,12.8,38.9
26,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,60634,59366.0,68,6.4,4.1,10.1,55767,66516,21.9,29.9,72718.0,6.1,5.8,5.3,6,6.1,16.4,13.1,14.2,7.6,6.6,6.7,4.2,1.9,12.8,38.9
27,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,60634,59366.0,68,6.4,4.1,10.1,55767,66516,21.9,29.9,72718.0,6.1,5.8,5.3,6,6.1,16.4,13.1,14.2,7.6,6.6,6.7,4.2,1.9,12.8,38.9
28,2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,60656,22401.0,67.4,5.3,4.5,12.1,54134,68564,15.7,28.3,27468.0,6.9,5.9,5,2.8,4.9,15.3,15,14.5,7.3,6.3,8.7,4.7,2.7,16.1,41.1
29,2007-06-05,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,2,0,60656,22401.0,67.4,5.3,4.5,12.1,54134,68564,15.7,28.3,27468.0,6.9,5.9,5,2.8,4.9,15.3,15,14.5,7.3,6.3,8.7,4.7,2.7,16.1,41.1
30,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,60614,59408.0,78,8.4,3.7,5.7,86215,134437,6,10.5,68363.0,5.8,3.8,2.9,5,13.6,31.2,13.2,8.7,3.9,3.8,5,2.1,1.1,8.2,29.8
31,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,60614,59408.0,78,8.4,3.7,5.7,86215,134437,6,10.5,68363.0,5.8,3.8,2.9,5,13.6,31.2,13.2,8.7,3.9,3.8,5,2.1,1.1,8.2,29.8
32,2007-06-05,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,1,0,60614,59408.0,78,8.4,3.7,5.7,86215,134437,6,10.5,68363.0,5.8,3.8,2.9,5,13.6,31.2,13.2,8.7,3.9,3.8,5,2.1,1.1,8.2,29.8
33,2007-06-05,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,60654,15004.0,85.5,8.5,3.7,3.6,90645,149346,7.9,6.5,15885.0,3.8,0.7,1,0.9,8.2,40.8,20.4,10.8,5.5,4.1,2.3,1.1,0.3,3.7,32.8
34,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,60608,63425.0,60.9,11.8,7.7,16.3,35336,48667,29.5,36.1,78794.0,6.4,6.2,5.8,7.1,10.1,21.2,14.3,11.7,5.2,4.2,3.9,2.7,1.1,7.8,31.3
35,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,60608,63425.0,60.9,11.8,7.7,16.3,35336,48667,29.5,36.1,78794.0,6.4,6.2,5.8,7.1,10.1,21.2,14.3,11.7,5.2,4.2,3.9,2.7,1.1,7.8,31.3
36,2007-06-05,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,60608,63425.0,60.9,11.8,7.7,16.3,35336,48667,29.5,36.1,78794.0,6.4,6.2,5.8,7.1,10.1,21.2,14.3,11.7,5.2,4.2,3.9,2.7,1.1,7.8,31.3
37,2007-06-05,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,2,0,60642,16555.0,80.8,8.1,2.7,9,67591,89573,15.3,14.6,18312.0,4.9,2.2,2.1,2.3,10.5,39.1,17.7,9,2.6,2.7,4.8,1.4,0.7,6.9,31.7
38,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,60647,70702.0,72.4,8.1,6.3,11.4,51675,74212,23.2,26.7,87146.0,6.8,5.8,5.2,5.4,8.5,27,16.8,10.6,4.2,3.5,3.7,1.8,0.6,6.2,31.6
39,2007-06-05,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,60647,70702.0,72.4,8.1,6.3,11.4,51675,74212,23.2,26.7,87146.0,6.8,5.8,5.2,5.4,8.5,27,16.8,10.6,4.2,3.5,3.7,1.8,0.6,6.2,31.6
40,2007-06-05,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,60614,59408.0,78,8.4,3.7,5.7,86215,134437,6,10.5,68363.0,5.8,3.8,2.9,5,13.6,31.2,13.2,8.7,3.9,3.8,5,2.1,1.1,8.2,29.8
41,2007-06-05,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,4,0,60643,40803.0,59.6,7.1,4.4,9.6,61799,78222,10.4,35.9,51836.0,5.8,6.4,7.7,6.6,5.7,9.5,12.3,15.3,6.8,6.5,8.2,6.6,2.6,17.3,42.1
42,2007-06-05,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,2,0,60643,40803.0,59.6,7.1,4.4,9.6,61799,78222,10.4,35.9,51836.0,5.8,6.4,7.7,6.6,5.7,9.5,12.3,15.3,6.8,6.5,8.2,6.6,2.6,17.3,42.1
43,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,60643,40803.0,59.6,7.1,4.4,9.6,61799,78222,10.4,35.9,51836.0,5.8,6.4,7.7,6.6,5.7,9.5,12.3,15.3,6.8,6.5,8.2,6.6,2.6,17.3,42.1
44,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,60643,40803.0,59.6,7.1,4.4,9.6,61799,78222,10.4,35.9,51836.0,5.8,6.4,7.7,6.6,5.7,9.5,12.3,15.3,6.8,6.5,8.2,6.6,2.6,17.3,42.1
45,2007-06-05,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,60643,40803.0,59.6,7.1,4.4,9.6,61799,78222,10.4,35.9,51836.0,5.8,6.4,7.7,6.6,5.7,9.5,12.3,15.3,6.8,6.5,8.2,6.6,2.6,17.3,42.1
46,2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,2,0,60631,23881.0,64.4,5.2,2.5,8.1,74007,85673,9.3,24.2,28899.0,5.1,6.9,4.7,3.7,5.2,12,14.6,15.9,7.9,5.7,7.2,6.2,5.1,18.5,43.7
47,2007-06-05,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,9,0,60631,23881.0,64.4,5.2,2.5,8.1,74007,85673,9.3,24.2,28899.0,5.1,6.9,4.7,3.7,5.2,12,14.6,15.9,7.9,5.7,7.2,6.2,5.1,18.5,43.7
48,2007-06-05,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,3,0,60651,46722.0,54.3,16.8,7.8,15.5,30971,43561,24,47,61150.0,7.7,7.2,7.3,8.6,7.9,15,12.8,11.5,6.1,6,6.6,2.5,0.9,10,32.7
49,2007-06-05,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,60620,57607.0,55.5,14.4,8,17.7,31753,43334,20.7,48.7,73253.0,6.2,6.3,7.4,8.8,7,10.7,13,13.6,6.2,4.8,8.7,5.6,1.7,16,38.2
50,2007-06-05,"9100 West Higgins Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,91, W HIGGINS AVE,T009,"9100  W HIGGINS AVE, Chicago, IL",41.981964000000005,-87.812827,8,2,0,60656,22401.0,67.4,5.3,4.5,12.1,54134,68564,15.7,28.3,27468.0,6.9,5.9,5,2.8,4.9,15.3,15,14.5,7.3,6.3,8.7,4.7,2.7,16.1,41.1
51,2007-06-05,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,36, N PITTSBURGH AVE,T011,"3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,8,1,0,60634,59366.0,68,6.4,4.1,10.1,55767,66516,21.9,29.9,72718.0,6.1,5.8,5.3,6,6.1,16.4,13.1,14.2,7.6,6.6,6.7,4.2,1.9,12.8,38.9
52,2007-06-05,"7200 North Oketo Avenue, Chicago, IL 60631, USA",CULEX RESTUANS,72, N OKETO AVE,T016,"7200  N OKETO AVE, Chicago, IL",42.011601,-87.81150600000001,8,1,0,60631,23881.0,64.4,5.2,2.5,8.1,74007,85673,9.3,24.2,28899.0,5.1,6.9,4.7,3.7,5.2,12,14.6,15.9,7.9,5.7,7.2,6.2,5.1,18.5,43.7
53,2007-06-05,"3800 North California Avenue, Chicago, IL 60618, USA",CULEX RESTUANS,38, N CALIFORNIA AVE,T019,"3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.69845699999999,9,1,0,60618,77402.0,74,5.9,4.4,9.4,55577,83289,23.7,22.7,97413.0,8.2,6,5.4,4.8,6.7,23.2,17.9,11.3,5,3.7,4.7,2.2,0.9,7.8,32.9
54,2007-06-05,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",CULEX RESTUANS,49, W BALMORAL AVE,T025,"4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,9,1,0,60630,46413.0,69,5.5,5.9,10.8,58086,71848,16.8,28.1,57886.0,6.5,6,6.1,6,5.5,14.9,15.5,15.7,5.7,4.9,6.4,4.5,2.2,13.1,38.1
55,2007-06-05,"5800 North Western Avenue, Chicago, IL 60659, USA",CULEX RESTUANS,58, N WESTERN AVE,T028,"5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,9,2,0,60659,30524.0,65.3,8.5,4.7,13,49581,65262,25.1,33.9,39657.0,7.7,7.2,7.2,5.4,5,17.3,15.1,12.3,6.5,5,6.4,3.7,1.1,11.2,35.1
56,2007-06-05,"5000 South Central Avenue, Chicago, IL 60638, USA",CULEX PIPIENS/RESTUANS,50, S CENTRAL AVE,T031,"5000  S CENTRAL AVE, Chicago, IL",41.801497999999995,-87.763416,9,1,0,60638,44677.0,67.8,3.9,4.1,10,61903,70951,13.4,26.7,56033.0,6.4,6.2,6.3,6.5,6.1,15,13.4,14.5,6.8,4.8,7.1,4.3,2.6,14,37.2
57,2007-06-05,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX RESTUANS,14, N HUMBOLDT DR,T033,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9,3,0,60622,45679.0,79.2,6.6,4,8.4,68923,96652,15.3,19.7,54272.0,6.6,4.7,3.9,3.8,7.8,34.6,17.2,9.1,3.5,2.7,3.1,2.1,1,6.2,31.1
58,2007-06-05,"South Vincennes Avenue, Chicago, IL, USA",CULEX RESTUANS,10, S VINCENNES,T089,"1000  S VINCENNES, Chicago, IL",41.723195000000004,-87.64997,5,1,0,60620,57607.0,55.5,14.4,8,17.7,31753,43334,20.7,48.7,73253.0,6.2,6.3,7.4,8.8,7,10.7,13,13.6,6.2,4.8,8.7,5.6,1.7,16,38.2
59,2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX PIPIENS/RESTUANS,11, S ASHLAND AVE,T090,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,1,0,60607,22690.0,74,12.2,3.8,5.4,80261,107194,7.8,11.8,25134.0,4.7,2.6,1.8,7.6,13.2,33,16.3,7.7,4.5,2.9,3.3,2,0.5,5.8,30.6
60,2007-06-05,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",CULEX RESTUANS,11, S ASHLAND AVE,T090,"1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,9,7,0,60607,22690.0,74,12.2,3.8,5.4,80261,107194,7.8,11.8,25134.0,4.7,2.6,1.8,7.6,13.2,33,16.3,7.7,4.5,2.9,3.3,2,0.5,5.8,30.6
61,2007-06-05,"1100 South State Street, Chicago, IL 60605, USA",CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,"1100  S STATE ST, Chicago, IL",41.869215999999994,-87.627561,8,1,0,60605,22687.0,75.4,9.9,3.8,4.3,75426,107930,5.6,12.9,24972.0,5.5,2.4,0.6,5.7,10.8,30.3,15.7,11.1,5.2,4.4,4.9,2.9,0.4,8.3,33.1
62,2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS/RESTUANS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,2,0,60803,18113.0,69.5,7.2,3,12.9,51186,59619,15.1,28.8,22945.0,6.4,6.7,6,7.7,7.9,14.3,12.9,15.5,5,4.9,6.6,4.1,1.9,12.6,35.7
63,2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX RESTUANS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,4,0,60803,18113.0,69.5,7.2,3,12.9,51186,59619,15.1,28.8,22945.0,6.4,6.7,6,7.7,7.9,14.3,12.9,15.5,5,4.9,6.6,4.1,1.9,12.6,35.7
64,2007-06-05,"4200 West 127th Street, Alsip, IL 60803, USA",CULEX PIPIENS,42, W 127TH PL,T135,"4200  W 127TH PL, Chicago, IL",41.662014,-87.72460799999999,8,1,0,60803,18113.0,69.5,7.2,3,12.9,51186,59619,15.1,28.8,22945.0,6.4,6.7,6,7.7,7.9,14.3,12.9,15.5,5,4.9,6.6,4.1,1.9,12.6,35.7
65,2007-06-05,"5300 West Agatite Avenue, Chicago, IL 60630, USA",CULEX PIPIENS/RESTUANS,53, W AGATITE AVE,T141,"5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,9,1,0,60630,46413.0,69,5.5,5.9,10.8,58086,71848,16.8,28.1,57886.0,6.5,6,6.1,6,5.5,14.9,15.5,15.7,5.7,4.9,6.4,4.5,2.2,13.1,38.1
